person_id,name,bat_hand,bowl_type
ba607b88,V Kohli,RHB,RM
fe93fd9d,RA Jadeja,LHB,SLA
740742ef,RG Sharma,RHB,OB
9d430b40,SP Narine,LHB,OB
495d42a5,R Ashwin,RHB,OB
0a476045,S Dhawan,LHB,
2e171977,AR Patel,LHB,SLA
2e81a32d,B Kumar,RHB,RFM
1dc12ab9,SK Raina,LHB,OB
4329fbb5,SR Watson,RHB,RFM
dcce6f09,DA Warner,LHB,
87e562a9,DJ Bravo,RHB,RFM
98ae73b1,PP Chawla,LHB,LB
29e95537,AM Rahane,RHB,
5b8c830e,KH Pandya,LHB,SLA
b17e2f24,KL Rahul,RHB,
57ee1fde,YS Chahal,RHB,LB
8b5b6769,Harbhajan Singh,RHB,OB
4a8a2e3b,MS Dhoni,RHB,
86dc8f2e,JH Kallis,RHB,RFM
db584dad,CH Gayle,RHB,OB
a757b0d8,KA Pollard,RHB,RM
5f547c8b,Rashid Khan,RHB,LB
dbe50b21,HH Pandya,RHB,RFM
1c17e270,RV Uthappa,RHB,
6b19d823,A Mishra,RHB,LB
462411b3,JJ Bumrah,RHB,RF
a4cc73aa,SV Samson,RHB,
c03f1114,KD Karthik,RHB,
3355b542,F du Plessis,RHB,
bb345e0b,G Gambhir,LHB,
3c6ffae8,YK Pathan,RHB,OB
bbd41817,AD Russell,RHB,RF
70d205c9,AT Rayudu,RHB,
c4487b84,AB de Villiers,RHB,
93b4fc78,MK Pandey,RHB,
cc1e8c68,UT Yadav,RHB,RF
ce820073,Sandeep Sharma,RHB,RFM
b4b99816,Shubman Gill,RHB,
85ec8e33,SS Iyer,RHB,
99b75528,JC Buttler,RHB,
271f83cd,SA Yadav,RHB,
8cf9814c,Mohammed Shami,RHB,RF
5fa06777,IK Pathan,LHB,LFM
1c914163,Yuvraj Singh,LHB,SLA
a12e1d51,SL Malinga,RHB,RF
a818c1be,TA Boult,RHB,LFM
2f49c897,Mohammed Siraj,RHB,RFM
e938e1bc,P Kumar,RHB,RFM
b681e71e,GJ Maxwell,RHB,OB
f986ca1a,HV Patel,RHB,RM
919a3be2,RR Pant,LHB,
e62dd25d,K Rabada,RHB,RF
1abb78f8,SN Thakur,RHB,RM
5bb1a1c4,I Sharma,RHB,RFM
372455c4,Q de Kock,LHB,
759ac88f,MM Sharma,RHB,RFM
8d2c70ad,Kuldeep Yadav,LHB,LWS
1e66c162,JD Unadkat,LHB,LFM
752f7486,Ishan Kishan,LHB,
d9273ee7,MP Stoinis,RHB,RFM
fb2d1dda,N Rana,LHB,OB
c3d35165,JA Morkel,LHB,RFM
41eb4a4f,R Vinay Kumar,RHB,RFM
b5da6c24,PA Patel,LHB,
d67d5f00,DA Miller,LHB,
8fd1a8f5,DW Steyn,RHB,RF
91a4a398,Z Khan,RHB,LFM
