raw_team,team,team_short,home_city,notes
"Chennai Super Kings","Chennai Super Kings","CSK","Chennai",""
"Deccan Chargers","Deccan Chargers","DC-old","Hyderabad","Folded 2012; a separate franchise from Sunrisers Hyderabad despite the shared city"
"Delhi Daredevils","Delhi Capitals","DC","Delhi","Renamed 2019"
"Delhi Capitals","Delhi Capitals","DC","Delhi",""
"Gujarat Lions","Gujarat Lions","GL","Rajkot","2016-17 stand-in franchise; NOT the same as Gujarat Titans"
"Gujarat Titans","Gujarat Titans","GT","Ahmedabad","Entered 2022; NOT a continuation of Gujarat Lions"
"Kings XI Punjab","Punjab Kings","PBKS","Mohali","Renamed 2021"
"Punjab Kings","Punjab Kings","PBKS","Mohali",""
"Kochi Tuskers Kerala","Kochi Tuskers Kerala","KTK","Kochi","2011 only"
"Kolkata Knight Riders","Kolkata Knight Riders","KKR","Kolkata",""
"Lucknow Super Giants","Lucknow Super Giants","LSG","Lucknow","Entered 2022"
"Mumbai Indians","Mumbai Indians","MI","Mumbai",""
"Pune Warriors","Pune Warriors India","PWI","Pune","2011-13"
"Rajasthan Royals","Rajasthan Royals","RR","Jaipur",""
"Rising Pune Supergiants","Rising Pune Supergiant","RPS","Pune","2016 spelling; renamed to singular in 2017, one franchise"
"Rising Pune Supergiant","Rising Pune Supergiant","RPS","Pune","2016-17 stand-in franchise"
"Royal Challengers Bangalore","Royal Challengers Bengaluru","RCB","Bengaluru","Renamed 2024"
"Royal Challengers Bengaluru","Royal Challengers Bengaluru","RCB","Bengaluru",""
"Sunrisers Hyderabad","Sunrisers Hyderabad","SRH","Hyderabad","Entered 2013 after Deccan Chargers folded; treated as a distinct franchise"
