raw_venue,venue,city,country,venue_era
"Arun Jaitley Stadium","Arun Jaitley Stadium","Delhi","India","current"
"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium","Delhi","India","current"
"Feroz Shah Kotla","Arun Jaitley Stadium","Delhi","India","current"
"Barabati Stadium","Barabati Stadium","Cuttack","India","current"
"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium","Guwahati","India","current"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Ekana Cricket Stadium","Lucknow","India","current"
"Brabourne Stadium","Brabourne Stadium","Mumbai","India","current"
"Brabourne Stadium, Mumbai","Brabourne Stadium","Mumbai","India","current"
"Buffalo Park","Buffalo Park","East London","South Africa","current"
"De Beers Diamond Oval","De Beers Diamond Oval","Kimberley","South Africa","current"
"Dr DY Patil Sports Academy","Dr DY Patil Sports Academy","Mumbai","India","current"
"Dr DY Patil Sports Academy, Mumbai","Dr DY Patil Sports Academy","Mumbai","India","current"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","ACA-VDCA Stadium","Visakhapatnam","India","current"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","ACA-VDCA Stadium","Visakhapatnam","India","current"
"Dubai International Cricket Stadium","Dubai International Cricket Stadium","Dubai","UAE","current"
"Eden Gardens","Eden Gardens","Kolkata","India","current"
"Eden Gardens, Kolkata","Eden Gardens","Kolkata","India","current"
"Green Park","Green Park","Kanpur","India","current"
"Himachal Pradesh Cricket Association Stadium","HPCA Stadium","Dharamsala","India","current"
"Himachal Pradesh Cricket Association Stadium, Dharamsala","HPCA Stadium","Dharamsala","India","current"
"Holkar Cricket Stadium","Holkar Cricket Stadium","Indore","India","current"
"JSCA International Stadium Complex","JSCA International Stadium","Ranchi","India","current"
"Kingsmead","Kingsmead","Durban","South Africa","current"
"M Chinnaswamy Stadium","M Chinnaswamy Stadium","Bengaluru","India","current"
"M Chinnaswamy Stadium, Bengaluru","M Chinnaswamy Stadium","Bengaluru","India","current"
"M.Chinnaswamy Stadium","M Chinnaswamy Stadium","Bengaluru","India","current"
"MA Chidambaram Stadium","MA Chidambaram Stadium","Chennai","India","current"
"MA Chidambaram Stadium, Chepauk","MA Chidambaram Stadium","Chennai","India","current"
"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium","Chennai","India","current"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","Maharaja Yadavindra Singh Stadium","New Chandigarh","India","current"
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Maharaja Yadavindra Singh Stadium","New Chandigarh","India","current"
"Maharashtra Cricket Association Stadium","Maharashtra Cricket Association Stadium","Pune","India","current"
"Maharashtra Cricket Association Stadium, Pune","Maharashtra Cricket Association Stadium","Pune","India","current"
"Subrata Roy Sahara Stadium","Maharashtra Cricket Association Stadium","Pune","India","current"
"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium","Ahmedabad","India","rebuilt_2020"
"Sardar Patel Stadium, Motera","Narendra Modi Stadium","Ahmedabad","India","pre_rebuild"
"Nehru Stadium","Nehru Stadium","Kochi","India","current"
"New Wanderers Stadium","New Wanderers Stadium","Johannesburg","South Africa","current"
"Newlands","Newlands","Cape Town","South Africa","current"
"OUTsurance Oval","OUTsurance Oval","Bloemfontein","South Africa","current"
"Punjab Cricket Association IS Bindra Stadium","PCA IS Bindra Stadium","Mohali","India","current"
"Punjab Cricket Association IS Bindra Stadium, Mohali","PCA IS Bindra Stadium","Mohali","India","current"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","PCA IS Bindra Stadium","Mohali","India","current"
"Punjab Cricket Association Stadium, Mohali","PCA IS Bindra Stadium","Mohali","India","current"
"Rajiv Gandhi International Stadium","Rajiv Gandhi International Stadium","Hyderabad","India","current"
"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium","Hyderabad","India","current"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad","Rajiv Gandhi International Stadium","Hyderabad","India","current"
"Saurashtra Cricket Association Stadium","Saurashtra Cricket Association Stadium","Rajkot","India","current"
"Sawai Mansingh Stadium","Sawai Mansingh Stadium","Jaipur","India","current"
"Sawai Mansingh Stadium, Jaipur","Sawai Mansingh Stadium","Jaipur","India","current"
"Shaheed Veer Narayan Singh International Stadium","Shaheed Veer Narayan Singh Stadium","Raipur","India","current"
"Shaheed Veer Narayan Singh International Stadium, Raipur","Shaheed Veer Narayan Singh Stadium","Raipur","India","current"
"Sharjah Cricket Stadium","Sharjah Cricket Stadium","Sharjah","UAE","current"
"Sheikh Zayed Stadium","Sheikh Zayed Stadium","Abu Dhabi","UAE","current"
"Zayed Cricket Stadium, Abu Dhabi","Sheikh Zayed Stadium","Abu Dhabi","UAE","current"
"St George's Park","St George's Park","Gqeberha","South Africa","current"
"SuperSport Park","SuperSport Park","Centurion","South Africa","current"
"Vidarbha Cricket Association Stadium, Jamtha","Vidarbha Cricket Association Stadium","Nagpur","India","current"
"Wankhede Stadium","Wankhede Stadium","Mumbai","India","current"
"Wankhede Stadium, Mumbai","Wankhede Stadium","Mumbai","India","current"
